,Number,Name,Team,Position,PPG,RPG,APG,SPG,BPG,TOPG,FPG,FDPG,+/-,EFFPG,FG%,3PT%,FT%,MPG
75,26,"Mahinay, Germy",NU,C,1.0,2.2,0.2,0.1,0.1,0.5,1.7,0.5,-0.6,2.3,24.00%,0.00%,75.00%,5.53
76,27,"Tibayan, Jonas",NU,F,0.8,0.4,0.2,0.2,0.0,0.3,0.7,0.2,-1.8,1.0,55.60%,0.00%,0.00%,3.05
77,77,"Padrones, Kenshin",NU,F,0.6,0.1,0.4,0.0,0.1,0.1,0.5,0.3,-0.2,1.1,60.00%,0.00%,0.00%,2.24
78,4,"Tulabut, Nat",NU,,0.3,0.2,0.0,0.2,0.0,0.7,0.0,0.0,-1.2,-0.2,50.00%,0.00%,0.00%,1.05
79,24,"Villegas, Luis",UE,,13.1,8.1,3.8,1.9,0.8,2.0,2.4,3.6,1.1,23.6,44.90%,35.10%,85.40%,29.54
80,3,"Paranada, Kyle",UE,G,11.6,2.9,4.2,1.6,0.1,2.1,2.6,3.6,0.9,14.2,35.90%,26.70%,69.40%,23.04
81,2,"Paranada, Nick",UE,G,9.9,3.0,3.1,0.7,0.0,1.1,1.0,1.8,0.1,10.3,33.30%,34.20%,74.10%,21.02
82,55,"Stevens, Jalen",UE,C,9.4,6.3,1.0,0.9,0.4,0.9,2.6,2.6,-0.9,15.1,61.20%,0.00%,30.60%,28.24
83,74,"Payawal, Calvin",UE,G,8.3,4.2,1.1,0.9,0.1,1.1,2.1,1.4,-0.6,9.7,35.60%,36.30%,68.40%,20.52
84,9,"Pagsanjan, Harvey",UE,G,5.1,4.1,0.8,0.9,0.2,1.2,2.2,2.0,1.0,6.5,28.20%,23.50%,50.00%,25.52
85,6,"Sawat, Abdul",UE,F,4.4,2.9,0.9,0.4,0.1,1.0,2.0,1.2,-2.0,6.0,33.90%,33.30%,81.80%,16.05
