Number,Name,Team,Position,PPG,RPG,APG,SPG,BPG,TOPG,FPG,FDPG,+/-,EFFPG,FG%,3PT%,FT%,MPG_x,NAME,GP,MIN,MPG_y,STARTS,3PT FGs M/A, 3PT FGs %,2PT FGs M/A,2PT FGs %,FGs %,DEFENDED M/A,DEFENDED %,OPEN M/A,OPEN %,FTs M/A,FTs %,HI,LO,DEF REBOUNDS,OFF REBOUNDS,AST,STL,BLK,OFF TOs,DEF TOs,TECH,UF,TOTAL
7,"Beltran, Allan",UE,C,0.3,0.7,0.3,0.0,0.0,0.2,1.2,0.3,-0.4,1.0,50.00%,0.00%,25.00%,6.52,Allan Beltran,10,4120,6:52:00,1,0/0,0.0,1/2,50.0,50.0,1/2,50.0,0/0,0.0,1/4,25.0,3,0,5,2,3,0,0,0,12,0,0,12
1,"Langit, Jeremy",UE,G,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.5,-4.0,2.0,0.00%,0.00%,0.00%,1.42,Jeremy Langit,2,204,1:42:00,0,0/0,0.0,0/0,0.0,0.0,0/0,0.0,0/0,0.0,0/0,0.0,0,0,2,0,0,1,0,0,2,0,0,2
77,"Lingolingo, Chris",UE,,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-4.0,-1.0,0.00%,0.00%,0.00%,1.1,Chris Lingolingo,3,212,1:10:40,0,0/1,0.0,0/0,0.0,0.0,0/1,0.0,0/0,0.0,0/0,0.0,0,0,0,0,0,0,0,1,0,0,0,1
7,"Lastimosa, Jerom",ADU,G,15.0,4.1,3.6,1.0,0.2,2.9,1.4,4.5,1.8,16.7,39.80%,25.90%,76.30%,25.41,Jerom Lastimosa,12,18497,25:41:25,8,17/64,26.56,45/86,52.33,41.33,56/142,39.44,6/8,75.0,37/49,75.51,29,2,39,13,41,11,3,2,17,0,0,19
55,"Douanga, Lenda",ADU,C,10.4,7.6,0.6,0.1,0.9,1.6,1.8,2.7,-0.6,15.3,48.90%,31.30%,61.20%,24.12,Lenda Douanga,14,20331,24:12:13,8,5/12,41.67,54/103,52.43,51.3,50/102,49.02,9/13,69.23,28/45,62.22,18,7,77,36,9,1,12,5,21,0,0,26
10,"Manzano, Cedrick",ADU,C,7.8,7.8,0.9,0.5,1.2,1.4,2.8,2.1,2.4,14.9,51.00%,0.00%,61.10%,18.46,Cedrick Manzano,14,15765,18:46:04,10,0/0,0.0,43/85,50.59,50.59,40/81,49.38,3/4,75.0,22/34,64.71,19,0,50,51,14,7,15,0,40,0,0,40
6,"Yerro, Joshua",ADU,G,6.8,4.8,2.8,1.3,0.0,1.5,2.6,1.5,0.8,10.5,34.60%,31.30%,61.10%,21.49,Joshua Yerro,14,18332,21:49:26,11,11/43,25.58,20/50,40.0,33.33,25/86,29.07,6/7,85.71,16/24,66.67,18,2,43,19,41,20,0,1,34,0,1,36
5,"Manlapaz, Adrian",ADU,F,6.6,1.7,0.4,0.4,0.4,0.4,0.4,1.1,-1.1,7.0,47.10%,40.00%,61.50%,9.08,Adrian Manlapaz,5,2742,9:08:24,0,4/10,40.0,8/14,57.14,50.0,11/23,47.83,1/1,100.0,6/9,66.67,22,0,6,2,2,0,1,0,2,0,0,2
21,"Sabandal, Jm",ADU,G,6.4,2.4,1.9,0.7,0.1,1.4,1.6,2.5,-2.5,7.0,29.30%,25.00%,65.00%,19.27,Jm Sabandal,12,14011,19:27:35,4,7/34,20.59,17/47,36.17,29.63,19/73,26.03,5/8,62.5,24/38,63.16,16,2,24,6,25,8,1,3,17,0,0,20
28,"Hanapi, Didat",ADU,G,6.1,2.2,1.0,0.8,0.1,1.3,1.4,0.9,-3.5,5.4,35.70%,28.00%,63.60%,21.45,Didat Hanapi,12,16391,22:45:55,4,13/44,29.55,13/31,41.94,34.67,22/70,31.43,4/5,80.0,12/20,60.0,13,0,20,10,12,10,2,0,18,0,0,18
29,"Magbuhos, Vince",ADU,F,5.8,3.7,2.1,1.1,0.8,1.6,1.7,1.1,-3.8,7.8,31.30%,29.60%,33.30%,22.45,Vince Magbuhos,10,13052,21:45:12,6,15/48,31.25,10/27,37.04,33.33,19/68,27.94,6/7,85.71,2/6,33.33,23,0,34,8,20,12,8,0,19,0,0,19
8,"Flowers, Aaron",ADU,F,3.3,3.2,0.4,0.6,0.3,0.9,2.1,0.6,-4.6,4.6,34.90%,30.80%,50.00%,10.29,Aaron Flowers,14,8813,10:29:30,4,4/12,33.33,14/41,34.15,33.96,13/47,27.66,5/6,83.33,4/8,50.0,15,0,31,14,4,8,3,0,27,0,0,27
